film_name,year,song_name,singer(s),music_director,lyricist,duration
Haddi,2023,Shooter Saiyan,"Ankita Joshi, Rohan-Rohan",Rohan-Rohan,,3:09
Haddi,2023,Beparda Reprise,"Rekha Bhardwaj , Rohan-Rohan",Rohan-Rohan,,3:00
Haddi,2023,The Vengeance of Haddi,-,Rohan-Rohan,,2:21
Haddi,2023,The Soul of Haddi,-,Rohan-Rohan,,2:32
Haddi,2023,Gale Mein Atki Haddi,-,Rohan-Rohan,,5:24
Haddi,2023,Punarjanam And Sarvanash,-,Rohan-Rohan,,3:17
Jaane Jaan,2023,Jaane Jaan - Title Track,Neha Kakkar,"Songs:, Sachin–Jigar, Score:, Clinton Cerejo",Rajendra Krishan,2:20
Jaane Jaan,2023,Doriyaan,Arijit Singh,"Songs:, Sachin–Jigar, Score:, Clinton Cerejo",Priya Saraiya,3:35
The Great Indian Family,2023,Kanhaiya Twitter Pe Aaja,Nakash Aziz,"Songs, :, Pritam, Score:, Kingshuk Chakravarty",,4:45
The Great Indian Family,2023,Ki Farak Painda Hai,"Dev Negi , Neeti Mohan , Badshah","Songs, :, Pritam, Score:, Kingshuk Chakravarty",,3:02
The Great Indian Family,2023,Sahibaa,"Darshan Raval , Antara Mitra","Songs, :, Pritam, Score:, Kingshuk Chakravarty",,3:56
The Great Indian Family,2023,Pukaroon Hari Om,Sonu Nigam,"Songs, :, Pritam, Score:, Kingshuk Chakravarty",,3:36
Sukhee,2023,Nasha,"Badshah, Chakshu Kotwal, Afsana Khan",Badshah - Hiten,Raja Dilwala,3:33
Sukhee,2023,Meethi Boliyan,Sachet Tandon,Arko,Rashmi Virag,4:00
Sukhee,2023,Nasha (Badshah Version),"Badshah, Chakshu Kotwal, Afsana Khan",Badshah - Hiten,Raja Dilwala,3:33
The Vaccine War,2023,The Vaccine War Theme,-,Rohit Sharma,-,2:51
The Vaccine War,2023,The Vaccine War Theme (Reprise),-,Rohit Sharma,-,2:37
